Company,Product_Type,Eco friendly,Country,Production_Year,Greenhouse_Gas_Emissions,Pollutants_Emitted,Water_Consumption,Energy_Consumption,Waste_Generation,Sales_Revenue
Urban Outfitters,Wool,Most,Sweden,2020,1619,12,4115,992,275,414089
Nike,Polyester,Least,Brazil,2020,4307,16,18,1056,537,558039
Adidas,Polyester,Least,Brazil,2022,3649,19,20,976,443,522927
Nike,Tencel,Most,Sweden,2022,1519,8,3500,653,222,435652
Zara,Wool,Most,Norway,2020,1719,12,4042,775,303,482776
Nike,Cotton,Least,Indonesia,2018,3316,16,19,963,477,541655
Forever 21,Organic_Cotton,Most,Sweden,2021,1842,12,4437,966,313,470165
Nike,Linen,Most,Denmark,2020,1403,10,3697,788,185,492953
Adidas,Linen,Most,Sweden,2022,1367,9,3952,749,175,405077
Urban Outfitters,Linen,Most,Sweden,2019,1567,10,4310,852,183,447177
Urban Outfitters,Nylon,Least,Bangladesh,2022,4784,23,5592,1187,470,496191
Forever 21,Viscose,Moderate,Spain,2018,3160,16,4833,1178,393,491391
Zara,Cotton,Least,China,2020,4156,23,6813,1248,566,542051
Nike,Tencel,Most,Sweden,2022,1307,9,3776,888,186,429681
Forever 21,Microfiber,Moderate,United States,2019,3121,14,5298,1249,359,511597
Urban Outfitters,Organic_Cotton,Most,Finland,2018,1899,9,3528,976,179,485438
Nike,Nylon,Least,China,2021,3341,16,18,1063,485,547592
Zara,Synthetic_Blend,Least,Brazil,2020,4468,20,6326,1159,598,528771
Zara,Tencel,Most,Switzerland,2020,1528,9,4173,946,182,419442
Zara,Organic_Cotton,Most,Denmark,2021,1547,10,4076,992,283,474944
Nike,Cotton,Least,Brazil,2022,3327,19,17,917,451,500551
Zara,Polyester,Least,India,2020,3690,23,6407,1123,576,536416
Nike,Synthetic_Blend,Least,India,2018,4267,20,19,950,541,514088
Adidas,Recycled_Poly,Moderate,United States,2018,3157,13,5189,1090,264,446260
Zara,Cotton,Least,Bangladesh,2022,3836,23,7061,1193,474,486527
Urban Outfitters,Tencel,Most,Finland,2022,1883,9,3957,732,276,499255
Nike,Nylon,Least,India,2021,3954,16,19,975,425,494537
Adidas,Organic_Cotton,Most,Norway,2021,1647,10,3651,748,138,476440
Nike,Synthetic_Blend,Least,Brazil,2018,4428,17,17,936,445,527532
Urban Outfitters,Polyester,Least,Brazil,2022,4796,21,6353,1021,483,543081
Zara,Viscose,Moderate,Mexico,2022,3307,14,4769,1144,324,523241
Adidas,Wool,Most,Denmark,2019,1498,10,3987,624,212,451060
Nike,Tencel,Most,Finland,2020,1947,9,4011,883,216,439292
Zara,Nylon,Least,Indonesia,2022,4550,22,7056,1269,564,532627
Adidas,Recycled_Poly,Moderate,Mexico,2018,2392,16,4663,1001,403,450689
Urban Outfitters,Linen,Most,Sweden,2020,1832,12,3521,738,245,448363
Forever 21,Wool,Most,Finland,2019,1743,12,4157,1024,224,414508
Urban Outfitters,Nylon,Least,Indonesia,2022,4440,18,5969,1092,493,526754
Urban Outfitters,Microfiber,Moderate,Spain,2019,3020,14,4680,1072,333,441237
Urban Outfitters,Polyester,Least,Brazil,2020,4430,18,6630,1163,468,498519
Forever 21,Synthetic_Blend,Least,China,2018,4026,22,5791,1167,527,558444
Adidas,Microfiber,Moderate,Italy,2022,2432,16,5287,938,305,532025
Zara,Microfiber,Moderate,Spain,2021,2868,14,5568,1248,355,508878
Adidas,Tencel,Most,Switzerland,2018,1564,8,3346,787,139,464843
Forever 21,Nylon,Least,India,2018,3623,21,5789,1171,502,519639
Adidas,Wool,Most,Norway,2018,1946,8,3533,694,138,459211
Nike,Recycled_Poly,Moderate,France,2019,2407,13,4316,945,343,474979
Nike,Cotton,Least,Brazil,2018,3550,16,17,1069,479,523287
Urban Outfitters,Polyester,Least,Brazil,2019,3789,21,5718,1022,566,499121
Nike,Synthetic_Blend,Least,China,2020,4477,18,16,999,506,556852
Forever 21,Synthetic_Blend,Least,China,2020,5142,22,5726,1220,511,519722
Zara,Wool,Most,Switzerland,2022,1928,12,4214,786,249,406795
Adidas,Synthetic_Blend,Least,Brazil,2020,3392,17,20,985,549,537739
Nike,Recycled_Poly,Moderate,France,2018,2938,15,5171,931,317,503230
Urban Outfitters,Polyester,Least,India,2019,3590,20,6690,1159,583,493107
Forever 21,Microfiber,Moderate,Mexico,2018,3487,14,4875,1115,389,516743
Urban Outfitters,Microfiber,Moderate,United States,2018,3430,17,4756,1073,408,527926
Nike,Polyester,Least,China,2018,4364,17,19,966,452,519045
Adidas,Wool,Most,Finland,2018,1756,8,4090,729,217,451851
Zara,Organic_Cotton,Most,Sweden,2022,1737,9,3944,841,253,454494
Nike,Nylon,Least,India,2019,4045,16,18,992,479,559564
Zara,Microfiber,Moderate,France,2020,2898,17,5155,1157,443,500138
Forever 21,Polyester,Least,Indonesia,2020,3678,21,6205,1196,488,488200
Forever 21,Wool,Most,Sweden,2022,1976,9,3682,771,295,420415
Forever 21,Cotton,Least,Bangladesh,2021,4672,20,6824,1138,502,494643
Adidas,Organic_Cotton,Most,Switzerland,2022,1561,10,3360,645,225,416144
Urban Outfitters,Tencel,Most,Finland,2018,2211,8,3517,830,266,431019
Urban Outfitters,Linen,Most,Norway,2018,2085,11,3608,830,185,407702
Forever 21,Recycled_Poly,Moderate,Italy,2019,3548,17,4889,1080,364,526319
Adidas,Recycled_Poly,Moderate,Mexico,2022,3098,15,4714,936,272,483202
Forever 21,Microfiber,Moderate,United States,2020,3495,16,5682,1097,454,471508
Adidas,Recycled_Poly,Moderate,United States,2021,2905,15,5291,1043,380,486991
Nike,Recycled_Poly,Moderate,Italy,2021,2217,16,4735,987,283,453820
Forever 21,Organic_Cotton,Most,Norway,2019,2090,10,3893,980,303,446294
Forever 21,Nylon,Least,Brazil,2020,4988,19,6097,1160,483,509029
Adidas,Tencel,Most,Norway,2020,1514,9,3861,719,193,415408
Zara,Viscose,Moderate,Italy,2022,3454,15,4703,1225,433,456827
Nike,Nylon,Least,Indonesia,2020,3781,16,16,1059,483,507903
Nike,Microfiber,Moderate,France,2022,2516,15,4819,912,334,456427
Zara,Microfiber,Moderate,Spain,2020,3003,17,4762,1214,339,460177
Adidas,Recycled_Poly,Moderate,United States,2021,2339,15,4442,1050,401,457214
Urban Outfitters,Tencel,Most,Denmark,2018,2051,11,3998,767,190,486889
Zara,Linen,Most,Sweden,2018,2180,12,3642,941,239,424735
Nike,Viscose,Moderate,France,2020,2551,15,4481,935,319,476334
Nike,Nylon,Least,India,2018,3755,20,17,928,486,524443
Nike,Polyester,Least,Brazil,2021,3296,18,20,1064,497,491535
Urban Outfitters,Recycled_Poly,Moderate,United States,2020,2639,14,5085,1077,342,441139
Adidas,Microfiber,Moderate,France,2019,3195,14,4659,1085,407,450929
Zara,Synthetic_Blend,Least,Brazil,2022,4423,23,6847,1250,490,559674
Forever 21,Cotton,Least,Indonesia,2018,4553,23,6854,1108,598,517290
Forever 21,Nylon,Least,Indonesia,2020,4776,22,6894,1170,507,484136
Nike,Organic_Cotton,Most,Sweden,2018,1914,10,3494,768,212,468308
Nike,Cotton,Least,Brazil,2019,3711,20,16,1046,538,540873
Zara,Recycled_Poly,Moderate,Spain,2018,3584,15,4799,1153,398,464864
Nike,Tencel,Most,Denmark,2020,1747,10,3654,674,215,493498
Adidas,Wool,Most,Sweden,2021,1743,9,3692,687,202,471827
Nike,Linen,Most,Denmark,2020,1429,9,3615,707,166,457707
Forever 21,Linen,Most,Sweden,2018,1538,12,4251,1001,291,422121
Forever 21,Wool,Most,Norway,2022,1913,11,3917,766,271,446945
Zara,Microfiber,Moderate,France,2022,3315,15,5301,1084,427,488406
Nike,Viscose,Moderate,France,2020,2218,16,4445,942,352,531788
Forever 21,Synthetic_Blend,Least,China,2021,3899,21,7038,1173,494,496009
Forever 21,Synthetic_Blend,Least,India,2022,3972,20,5725,1184,489,494148
Zara,Viscose,Moderate,Mexico,2021,2701,16,4940,1130,440,459568
Zara,Viscose,Moderate,Italy,2019,2806,17,5161,1243,420,490841
Zara,Microfiber,Moderate,France,2020,3262,14,5312,1185,416,538844
Urban Outfitters,Synthetic_Blend,Least,Bangladesh,2020,4617,20,5668,1029,533,549841
Nike,Linen,Most,Denmark,2020,1635,10,3600,721,208,409565
Zara,Polyester,Least,Indonesia,2018,5067,22,6083,1223,512,557865
Forever 21,Recycled_Poly,Moderate,Italy,2020,3487,17,5225,1155,389,507339
Nike,Organic_Cotton,Most,Switzerland,2018,1948,9,4034,619,202,483268
Zara,Tencel,Most,Switzerland,2022,1676,9,3940,880,313,420360
Forever 21,Microfiber,Moderate,Spain,2022,2873,15,5395,1215,448,465863
Urban Outfitters,Polyester,Least,China,2018,4782,20,6495,1013,450,559925
Zara,Viscose,Moderate,France,2020,3040,16,4757,1102,451,481267
Urban Outfitters,Polyester,Least,India,2019,4810,21,6057,1160,527,557627
Forever 21,Cotton,Least,Bangladesh,2018,4362,19,6895,1150,519,517801
Zara,Viscose,Moderate,Spain,2021,2819,14,4758,1191,444,502263
Adidas,Synthetic_Blend,Least,Brazil,2020,3926,16,19,961,515,556486
Forever 21,Synthetic_Blend,Least,India,2022,4315,23,7068,1173,547,510028
Nike,Microfiber,Moderate,United States,2021,2701,12,4904,1054,395,462436
Urban Outfitters,Wool,Most,Norway,2019,2072,12,3685,857,161,433765
Forever 21,Polyester,Least,Indonesia,2019,4568,22,6413,1153,542,481119
Nike,Recycled_Poly,Moderate,United States,2018,2463,14,5156,1018,353,529199
Nike,Tencel,Most,Sweden,2020,1310,9,3496,661,201,438951
Adidas,Nylon,Least,Bangladesh,2022,3807,16,20,1066,528,552549
Urban Outfitters,Organic_Cotton,Most,Denmark,2022,1977,9,4362,789,178,408556
Urban Outfitters,Synthetic_Blend,Least,Bangladesh,2022,4423,18,6797,1120,545,490021
Forever 21,Organic_Cotton,Most,Norway,2022,2410,9,4268,982,182,401686
Urban Outfitters,Recycled_Poly,Moderate,France,2019,2509,17,4850,1061,329,514369
Nike,Tencel,Most,Norway,2021,1748,8,3562,895,211,422517
Forever 21,Cotton,Least,India,2018,4423,21,5909,1222,571,483918
Adidas,Viscose,Moderate,United States,2019,2412,13,5208,940,298,455052
Urban Outfitters,Tencel,Most,Switzerland,2022,2460,9,3810,738,203,460608
Nike,Viscose,Moderate,Spain,2020,2252,16,4398,998,354,531384
Adidas,Linen,Most,Norway,2019,1359,8,3566,700,189,409681
Forever 21,Polyester,Least,Brazil,2019,5342,19,5714,1147,587,550025
Zara,Microfiber,Moderate,Spain,2020,3348,15,5033,1097,341,493559
Urban Outfitters,Linen,Most,Finland,2022,1835,10,3571,868,298,493659
Urban Outfitters,Organic_Cotton,Most,Finland,2020,2314,12,4016,697,270,454774
Zara,Linen,Most,Switzerland,2019,2318,11,3632,917,188,462726
Nike,Linen,Most,Denmark,2022,1496,10,3330,760,195,495861
Urban Outfitters,Recycled_Poly,Moderate,Mexico,2021,2967,17,5436,1160,449,508654
Urban Outfitters,Cotton,Least,India,2022,4251,20,6222,1056,493,505718
Urban Outfitters,Nylon,Least,Bangladesh,2019,3721,23,6638,1014,569,557209
Forever 21,Polyester,Least,Indonesia,2020,4062,23,6350,1272,586,530364
Forever 21,Wool,Most,Denmark,2021,1770,12,4112,907,292,416053
Urban Outfitters,Polyester,Least,Bangladesh,2021,4272,21,6236,1061,483,525601
Forever 21,Recycled_Poly,Moderate,France,2019,3511,15,5525,1170,321,457457
Forever 21,Viscose,Moderate,Italy,2019,2758,14,5055,1197,395,512615
Urban Outfitters,Wool,Most,Denmark,2020,2262,11,4137,686,225,478818
Urban Outfitters,Linen,Most,Sweden,2020,2305,10,3896,649,171,498053
Adidas,Organic_Cotton,Most,Finland,2020,1383,9,3733,653,174,487701
Zara,Recycled_Poly,Moderate,Mexico,2019,3389,14,4826,1113,442,517762
Nike,Linen,Most,Switzerland,2018,1965,8,3553,695,184,476664
Forever 21,Viscose,Moderate,Mexico,2019,2705,16,5591,1182,341,536952
Forever 21,Tencel,Most,Denmark,2019,2291,11,4166,1044,270,423080
Zara,Wool,Most,Switzerland,2018,2017,11,4449,982,305,419560
Urban Outfitters,Tencel,Most,Switzerland,2021,2056,11,4004,848,244,449280
Forever 21,Nylon,Least,Indonesia,2018,5304,21,7072,1105,500,527785
Adidas,Cotton,Least,China,2020,3754,20,18,1065,441,541514
Urban Outfitters,Linen,Most,Finland,2022,1852,9,3622,857,160,475846
Urban Outfitters,Synthetic_Blend,Least,India,2018,4094,22,5748,1137,531,541419
Urban Outfitters,Cotton,Least,Bangladesh,2021,4356,23,6835,1002,503,500923
Urban Outfitters,Organic_Cotton,Most,Switzerland,2021,1956,12,4462,640,295,448197
Forever 21,Microfiber,Moderate,Mexico,2022,2997,15,5632,1206,334,490902
Forever 21,Organic_Cotton,Most,Finland,2020,2490,9,4172,792,287,444312
Urban Outfitters,Organic_Cotton,Most,Finland,2018,2086,8,4339,669,173,452445
Urban Outfitters,Polyester,Least,Brazil,2021,3690,21,6588,1158,471,521629
Urban Outfitters,Recycled_Poly,Moderate,Spain,2018,3095,16,4587,1011,426,488838
Urban Outfitters,Synthetic_Blend,Least,Indonesia,2022,4047,20,5799,1109,485,501302
Zara,Recycled_Poly,Moderate,Spain,2019,3253,16,4963,1125,374,537420
Forever 21,Nylon,Least,Indonesia,2020,5054,22,6118,1132,486,535788
Urban Outfitters,Microfiber,Moderate,Spain,2018,3026,16,4629,1141,396,499649
Zara,Recycled_Poly,Moderate,Spain,2022,3561,16,4997,1186,423,502330
Adidas,Polyester,Least,India,2019,3437,19,17,930,477,508698
Forever 21,Microfiber,Moderate,Mexico,2019,3315,14,5255,1153,420,492216
Zara,Viscose,Moderate,United States,2021,3468,14,5682,1191,371,533696
Nike,Microfiber,Moderate,Italy,2019,2348,15,4405,1027,289,478449
Adidas,Wool,Most,Norway,2019,1627,9,3425,658,187,417190
Urban Outfitters,Tencel,Most,Finland,2019,2284,9,4153,759,234,435427
Zara,Linen,Most,Finland,2021,2482,9,3822,950,238,405575
Urban Outfitters,Nylon,Least,Indonesia,2020,4837,20,6124,1196,596,545444
Nike,Nylon,Least,Brazil,2021,3583,16,16,1042,519,523045
Adidas,Microfiber,Moderate,France,2018,2661,16,4766,957,375,470534
Urban Outfitters,Cotton,Least,Brazil,2018,4768,23,5915,1115,527,537864
Nike,Viscose,Moderate,United States,2019,2508,15,4710,1081,316,525958
Zara,Synthetic_Blend,Least,India,2022,4369,20,7049,1293,472,494839
Adidas,Organic_Cotton,Most,Sweden,2020,1688,8,3539,754,153,478899
Nike,Tencel,Most,Finland,2021,1601,8,3380,617,133,452122
Forever 21,Polyester,Least,Indonesia,2020,3637,22,6705,1144,565,509941
Nike,Synthetic_Blend,Least,India,2021,3753,18,16,963,480,491507
Adidas,Recycled_Poly,Moderate,Mexico,2020,2614,13,5256,1056,279,482410
Urban Outfitters,Tencel,Most,Switzerland,2022,2266,11,3817,807,204,438278
Nike,Polyester,Least,Brazil,2022,3489,19,20,940,579,489675
Urban Outfitters,Microfiber,Moderate,United States,2018,3400,17,4538,1049,403,518136
Zara,Polyester,Least,China,2018,3871,19,6852,1100,557,536038
Zara,Organic_Cotton,Most,Finland,2018,2447,12,3977,746,199,454035
Urban Outfitters,Recycled_Poly,Moderate,United States,2018,2940,14,5375,1048,310,488382
Urban Outfitters,Nylon,Least,India,2018,4998,23,5682,1009,543,493317
Nike,Linen,Most,Finland,2018,1458,8,3782,673,180,408811
Adidas,Cotton,Least,Brazil,2018,3561,19,20,983,459,481913
Zara,Microfiber,Moderate,Italy,2018,3579,16,5662,1204,440,504709
Urban Outfitters,Organic_Cotton,Most,Switzerland,2020,2129,12,3772,720,151,437880
Zara,Nylon,Least,Bangladesh,2020,5031,20,6570,1254,489,553863
Zara,Organic_Cotton,Most,Switzerland,2018,2450,10,3794,975,317,449951
Zara,Nylon,Least,Indonesia,2021,4260,21,6958,1224,575,540113
Adidas,Recycled_Poly,Moderate,Mexico,2019,2352,15,4511,918,382,451386
Adidas,Recycled_Poly,Moderate,Spain,2019,3195,14,4813,1090,335,465002
Zara,Wool,Most,Switzerland,2022,1858,10,3979,824,315,499349
Forever 21,Synthetic_Blend,Least,Indonesia,2019,5187,19,5711,1254,532,482869
Nike,Recycled_Poly,Moderate,Italy,2022,2643,14,5080,926,416,520318
Forever 21,Synthetic_Blend,Least,Bangladesh,2020,3978,22,5789,1267,506,536388
Adidas,Tencel,Most,Denmark,2021,1651,10,3564,769,167,434782
Adidas,Synthetic_Blend,Least,China,2022,4306,19,17,983,580,556034
Zara,Viscose,Moderate,France,2020,2874,16,4752,1139,445,462955
Urban Outfitters,Wool,Most,Sweden,2019,2400,11,3961,819,207,421334
Nike,Microfiber,Moderate,United States,2018,2287,12,5126,936,315,441523
Forever 21,Nylon,Least,China,2020,4112,19,5911,1204,588,493329
Forever 21,Polyester,Least,Bangladesh,2022,5258,20,5927,1176,616,489999
Nike,Cotton,Least,China,2019,3785,18,16,992,494,511200
Urban Outfitters,Microfiber,Moderate,Spain,2020,3394,16,4856,1110,401,510062
Adidas,Wool,Most,Sweden,2022,1755,8,4038,742,165,429419
Urban Outfitters,Viscose,Moderate,United States,2019,3247,16,5333,1004,326,507209
Urban Outfitters,Wool,Most,Norway,2021,1662,8,4024,724,204,494369
Nike,Microfiber,Moderate,Italy,2022,2744,13,4608,1067,371,480772
Forever 21,Polyester,Least,China,2021,4286,20,6646,1110,573,513318
Forever 21,Linen,Most,Finland,2022,2288,9,4607,743,271,449066
Forever 21,Nylon,Least,India,2018,3720,22,6576,1201,578,491595
Zara,Polyester,Least,Indonesia,2019,4945,23,6999,1264,607,549476
Urban Outfitters,Polyester,Least,India,2021,4268,22,6322,1105,576,522076
Forever 21,Microfiber,Moderate,France,2021,2912,14,5128,1085,459,539897
Adidas,Nylon,Least,Indonesia,2019,3798,20,17,983,431,481185
Urban Outfitters,Microfiber,Moderate,Mexico,2019,2807,15,5499,1097,398,512105
Adidas,Microfiber,Moderate,United States,2020,2758,14,5040,945,403,468204
Urban Outfitters,Recycled_Poly,Moderate,Spain,2022,2875,15,5313,1030,441,467317
Forever 21,Wool,Most,Norway,2018,2325,9,3616,834,239,429713
Nike,Viscose,Moderate,United States,2021,3169,13,4625,961,351,509327
Forever 21,Cotton,Least,Indonesia,2019,5326,22,5930,1233,576,503335
Urban Outfitters,Nylon,Least,Bangladesh,2019,4323,19,5956,1065,558,523592
Forever 21,Viscose,Moderate,Italy,2020,3158,15,4758,1221,375,494184
Nike,Cotton,Least,China,2021,3424,20,16,1098,475,514209
Forever 21,Nylon,Least,China,2020,4924,23,6499,1107,538,536255
Urban Outfitters,Linen,Most,Finland,2022,2077,8,3516,753,167,448797
Zara,Microfiber,Moderate,United States,2018,3264,17,5694,1200,413,477195
Adidas,Polyester,Least,Bangladesh,2019,4309,19,18,902,475,540640
Zara,Nylon,Least,China,2022,4039,23,6877,1162,512,521235
Nike,Tencel,Most,Norway,2020,1558,9,3715,899,191,454275
Nike,Cotton,Least,India,2018,4412,19,20,1035,476,506528
Zara,Linen,Most,Denmark,2022,1924,12,3849,1003,180,485873
Zara,Organic_Cotton,Most,Norway,2021,2358,9,3703,965,319,436086
Adidas,Nylon,Least,Indonesia,2022,4475,18,18,1052,454,484693
Zara,Recycled_Poly,Moderate,Italy,2022,3536,15,5545,1052,467,537616
Urban Outfitters,Wool,Most,Norway,2020,1539,11,4378,709,186,465075
Forever 21,Cotton,Least,Indonesia,2021,5278,21,6577,1127,549,495024
Urban Outfitters,Cotton,Least,Brazil,2022,3842,23,5981,1160,545,482110
Urban Outfitters,Synthetic_Blend,Least,Brazil,2022,4253,22,6751,1097,508,502016
Adidas,Wool,Most,Finland,2019,1500,8,3448,627,229,471808
Zara,Organic_Cotton,Most,Norway,2019,2461,12,3636,999,288,484257
Adidas,Microfiber,Moderate,France,2018,2492,14,4411,1085,281,500083
Nike,Recycled_Poly,Moderate,Mexico,2021,3012,12,5263,906,266,446942
Nike,Linen,Most,Switzerland,2018,1304,9,4078,731,222,478808
Urban Outfitters,Viscose,Moderate,Spain,2020,2997,13,4691,1013,439,534042
Forever 21,Wool,Most,Norway,2020,1567,12,3950,749,315,401748
Nike,Organic_Cotton,Most,Finland,2022,1479,9,3921,690,228,409688
Zara,Linen,Most,Denmark,2019,2302,11,4253,764,234,413666
Urban Outfitters,Organic_Cotton,Most,Denmark,2018,2380,9,3603,704,200,443952
Zara,Nylon,Least,India,2020,3983,20,7095,1246,610,508222
Forever 21,Wool,Most,Denmark,2021,2372,12,4443,954,300,464923
Zara,Polyester,Least,India,2018,5361,20,5907,1101,491,496944
Nike,Nylon,Least,India,2021,3365,18,16,996,555,491583
Adidas,Tencel,Most,Sweden,2018,1763,8,3442,805,200,420712
Adidas,Recycled_Poly,Moderate,Italy,2022,2297,14,4331,993,357,510784
Zara,Tencel,Most,Finland,2020,1534,9,4024,705,288,453140
Nike,Viscose,Moderate,Spain,2022,2508,14,4654,1033,299,498045
Forever 21,Synthetic_Blend,Least,China,2021,5152,22,5782,1216,620,538264
Adidas,Organic_Cotton,Most,Denmark,2018,1426,10,3460,683,173,422153
Adidas,Wool,Most,Switzerland,2022,1665,10,3405,767,175,474189
Nike,Linen,Most,Norway,2022,1538,9,4013,886,221,449726
Forever 21,Polyester,Least,India,2018,4803,23,6006,1112,524,533133
Adidas,Synthetic_Blend,Least,Bangladesh,2018,4234,16,19,1086,433,518278
Nike,Synthetic_Blend,Least,Bangladesh,2021,3561,19,17,1041,472,516884
Forever 21,Polyester,Least,Brazil,2019,4539,22,6960,1231,513,559469
Zara,Microfiber,Moderate,Spain,2019,3045,16,5315,1240,349,497416
Adidas,Linen,Most,Denmark,2022,1604,10,3885,714,142,453635
Urban Outfitters,Synthetic_Blend,Least,China,2019,4349,21,6769,1147,573,517808
Nike,Linen,Most,Finland,2020,1520,10,3914,789,135,450384
Forever 21,Polyester,Least,Indonesia,2021,5029,21,6550,1183,518,502154
Forever 21,Viscose,Moderate,United States,2022,2854,17,4718,1065,432,453523
Urban Outfitters,Organic_Cotton,Most,Sweden,2021,1681,9,4335,704,223,422625
Nike,Linen,Most,Switzerland,2018,1319,9,3909,791,207,410245
Zara,Cotton,Least,Indonesia,2021,4059,20,6215,1172,496,516932
Nike,Cotton,Least,India,2018,4008,16,17,949,502,511866
Forever 21,Viscose,Moderate,Spain,2019,3342,15,5047,1199,354,440647
Adidas,Organic_Cotton,Most,Denmark,2018,1920,8,3721,693,196,404429
Adidas,Cotton,Least,China,2020,3566,18,19,1024,549,501762
Urban Outfitters,Recycled_Poly,Moderate,France,2020,2821,16,4564,1151,450,454757
Zara,Organic_Cotton,Most,Finland,2022,2317,12,4222,987,207,437113
Urban Outfitters,Recycled_Poly,Moderate,Spain,2021,3277,17,5095,1005,320,535185
Urban Outfitters,Polyester,Least,Indonesia,2019,4101,19,5687,1065,577,510531
Forever 21,Synthetic_Blend,Least,China,2020,4549,22,6154,1235,537,518875
Forever 21,Recycled_Poly,Moderate,Mexico,2022,2723,15,5577,1138,400,459141
Forever 21,Microfiber,Moderate,France,2021,2723,16,5635,1250,470,474649
Nike,Recycled_Poly,Moderate,Mexico,2022,2909,16,5165,1067,291,526621
Urban Outfitters,Tencel,Most,Norway,2019,2092,8,4218,818,298,447053
Urban Outfitters,Microfiber,Moderate,United States,2022,3464,17,5184,1069,375,444924
Adidas,Organic_Cotton,Most,Switzerland,2018,1322,8,4065,771,194,435119
Forever 21,Polyester,Least,Brazil,2020,4306,19,6756,1241,556,546001
Zara,Wool,Most,Norway,2022,1735,9,4063,784,222,419215
Adidas,Organic_Cotton,Most,Sweden,2022,1799,9,4022,886,203,435360
Zara,Polyester,Least,Brazil,2018,5074,20,5814,1253,590,498463
Urban Outfitters,Nylon,Least,Brazil,2021,4499,18,6732,1055,495,491547
Nike,Linen,Most,Norway,2018,1880,9,3581,846,179,461455
Urban Outfitters,Viscose,Moderate,Mexico,2022,2739,13,5175,1099,429,500376
Adidas,Recycled_Poly,Moderate,Italy,2019,2415,13,5164,944,286,487397
Forever 21,Nylon,Least,Indonesia,2020,4697,20,6175,1265,566,508056
Adidas,Linen,Most,Switzerland,2018,1747,8,3522,662,199,499219
Forever 21,Nylon,Least,Brazil,2018,5151,23,6625,1102,611,519297
Nike,Polyester,Least,Indonesia,2020,3718,16,19,1082,489,544241
Adidas,Polyester,Least,Bangladesh,2022,3813,19,20,917,523,541136
Urban Outfitters,Tencel,Most,Switzerland,2018,2403,11,3515,667,277,481968
Adidas,Recycled_Poly,Moderate,Spain,2019,2444,16,4472,1019,344,536435
Urban Outfitters,Polyester,Least,Brazil,2021,3939,18,5794,1036,562,498016
Adidas,Cotton,Least,Indonesia,2021,3597,17,16,1066,447,489782
Urban Outfitters,Wool,Most,Sweden,2022,1843,11,4044,955,295,445953
Zara,Nylon,Least,Indonesia,2020,4819,22,6111,1112,620,547615
Adidas,Linen,Most,Sweden,2020,1840,9,3922,688,166,494511
Adidas,Recycled_Poly,Moderate,Spain,2020,2919,12,4343,1051,272,524188
Urban Outfitters,Microfiber,Moderate,Mexico,2022,3366,17,5172,1136,406,532406
Nike,Nylon,Least,Brazil,2021,3740,20,16,949,452,552052
Nike,Cotton,Least,India,2022,4255,16,16,1038,521,503617
Zara,Microfiber,Moderate,Mexico,2020,3408,14,5596,1183,428,449895
Urban Outfitters,Cotton,Least,Bangladesh,2020,3591,20,6727,1189,485,500222
Nike,Cotton,Least,Indonesia,2019,3828,17,19,1075,427,534288
Forever 21,Linen,Most,Sweden,2021,1898,9,3914,748,262,412204
Urban Outfitters,Recycled_Poly,Moderate,Spain,2019,3109,14,4737,1057,407,482894
Nike,Microfiber,Moderate,Spain,2019,3011,16,5057,983,310,537776
Forever 21,Microfiber,Moderate,France,2020,3052,17,5497,1064,342,445638
Zara,Microfiber,Moderate,Spain,2019,3344,16,4798,1246,320,440107
Adidas,Organic_Cotton,Most,Sweden,2018,1580,10,3712,776,179,421457
Zara,Recycled_Poly,Moderate,Spain,2022,3472,16,5362,1136,433,464109
Adidas,Recycled_Poly,Moderate,France,2019,2786,12,4382,1013,265,529555
Zara,Synthetic_Blend,Least,China,2020,4262,22,7059,1195,570,500961
Forever 21,Synthetic_Blend,Least,Indonesia,2018,3694,23,6977,1253,534,533818
Forever 21,Recycled_Poly,Moderate,Italy,2018,3489,14,5012,1161,425,491237
Adidas,Linen,Most,Switzerland,2019,1842,9,3611,739,200,482928
Urban Outfitters,Microfiber,Moderate,United States,2021,3318,15,5332,1094,420,511129
Adidas,Tencel,Most,Norway,2021,1896,10,3378,805,186,485440
Zara,Polyester,Least,Brazil,2022,4059,23,5871,1184,516,516871
Nike,Tencel,Most,Norway,2019,1915,10,4018,718,131,442757
Urban Outfitters,Polyester,Least,Bangladesh,2022,4698,21,5614,1071,552,533500
Zara,Cotton,Least,Bangladesh,2021,4764,22,5981,1271,554,552521
Nike,Microfiber,Moderate,United States,2022,2657,15,5277,1041,377,502946
Forever 21,Polyester,Least,Brazil,2018,4412,21,6614,1258,596,534191
Forever 21,Cotton,Least,Indonesia,2020,5111,23,6890,1192,546,490290
Urban Outfitters,Nylon,Least,Brazil,2021,3770,20,6598,1091,542,557385
Zara,Tencel,Most,Sweden,2018,2084,11,3951,1000,263,498212
Zara,Synthetic_Blend,Least,Bangladesh,2020,3998,21,6444,1133,487,526944
Zara,Organic_Cotton,Most,Finland,2021,1810,9,4539,779,264,431218
Nike,Cotton,Least,India,2022,3587,19,17,957,558,534893
Nike,Linen,Most,Denmark,2020,1480,10,3992,709,137,479425
Zara,Nylon,Least,China,2021,5101,22,6023,1292,542,501110
Urban Outfitters,Tencel,Most,Sweden,2020,2362,8,4404,901,268,438993
Urban Outfitters,Wool,Most,Switzerland,2018,2258,8,3877,820,218,495573
